id,longitude,latitude,planting_year,Avg_Annual_Rainfall,Avg_Annual_Temp
3416,7.78896,10.26858,2015,2158,25.33
3417,7.78896,10.26858,2015,2158,25.33
3418,7.78896,10.26858,2015,2158,25.33
3419,7.78896,10.26858,2015,2158,25.33
3420,7.78896,10.26858,2015,2158,25.33
3421,7.78896,10.26858,2015,2158,25.33
3422,7.78896,10.26858,2015,2158,25.33
3423,7.78896,10.26858,2015,2158,25.33
3424,7.78896,10.26858,2015,2158,25.33
3425,7.78896,10.26858,2015,2158,25.33
3426,7.78896,10.26858,2015,2158,25.33
3427,7.78896,10.26858,2015,2158,25.33
3428,7.78896,10.26858,2015,2158,25.33
3429,7.78896,10.26858,2015,2158,25.33
3430,7.78896,10.26858,2015,2158,25.33
3431,7.78896,10.26858,2015,2158,25.33
3432,7.78896,10.26858,2015,2158,25.33
3433,7.78896,10.26858,2015,2158,25.33
3434,7.78896,10.26858,2015,2158,25.33
3435,7.78896,10.26858,2015,2158,25.33
3436,7.78896,10.26858,2015,2158,25.33
3437,7.78896,10.26858,2015,2158,25.33
3438,7.78896,10.26858,2015,2158,25.33
3439,7.78896,10.26858,2015,2158,25.33
3440,7.78896,10.26858,2015,2158,25.33
3441,7.78896,10.26858,2015,2158,25.33
3442,7.78896,10.26858,2015,2158,25.33
3443,7.78896,10.26858,2015,2158,25.33
3444,7.78896,10.26858,2015,2158,25.33
3445,7.78896,10.26858,2015,2158,25.33
3446,7.78896,10.26858,2015,2158,25.33
3447,7.78896,10.26858,2015,2158,25.33
3448,7.78896,10.26858,2015,2158,25.33
3449,7.78896,10.26858,2015,2158,25.33
3450,7.78896,10.26858,2015,2158,25.33
3451,7.78896,10.26858,2015,2158,25.33
3452,7.78896,10.26858,2015,2158,25.33
3453,7.78896,10.26858,2015,2158,25.33
3454,7.78896,10.26858,2015,2158,25.33
3455,7.78896,10.26858,2015,2158,25.33
3456,7.78896,10.26858,2015,2158,25.33
3457,7.78896,10.26858,2015,2158,25.33
3458,7.78896,10.26858,2015,2158,25.33
3459,7.78896,10.26858,2015,2158,25.33
3460,7.78896,10.26858,2015,2158,25.33
3461,7.78896,10.26858,2015,2158,25.33
3462,7.78896,10.26858,2015,2158,25.33
3463,7.78896,10.26858,2015,2158,25.33
3464,7.78896,10.26858,2015,2158,25.33
3465,7.78896,10.26858,2015,2158,25.33
